1,8,2022	1000:1000	27,85	750,787	756,388	0,0714286	44,125	
1,8,2023	1000:1000	31,425	749,975	755,5	0,0125	31,625	
1,9,2005	1000:1000	22,975	753,688	759,613		48	
1,9,2006	1000:1000	22,4875	755,65	761,45		33	
1,9,2007	1000:1000	27,1	751,675	757,362		47,625	
1,9,2008	1000:1000	24,775	753,75	759,438		52,375	
1,9,2009	1000:1000	24,4	754,95	761,075		48,625	
1,9,2010	1000:1000	28,8125	750,438	756,038		40,5	
1,9,2011	1000:1000	22,35	755,7	761,488		47	
1,9,2012	1000:1000	24,9125	753,513	759,163		44,75	
1,9,2013	1000:1000	19,4625	758,725	764,55	-0,2125	50,375	
1,9,2014	1000:1000	23,625	757,113	762,863	0,2	52,5	
1,9,2015	1000:1000	20,0875	753,688	759,487	-0,0125	48,75	
1,9,2016	1000:1000	22,65	751,225	757	-0,4	41,875	
1,9,2017	1000:1000	29,5375	754,562	760,163	0,0125	35,5	
1,9,2018	1000:1000	22,35	759,225	765,013	0,3625	39	
1,9,2019	1000:1000	17,3	755,5	761,387	-0,0625	49,625	
1,9,2020	1000:1000	25	753,987	759,663	0,1625	42,25	
1,9,2021	1000:1000	21,0625	755,688	761,475	-0,15	43,125	
1,9,2022	1000:1000	24,9625	755,625	761,362	-0,1625	33,5	
1,9,2023	1000:1000	21,175	756,775	762,587	-0,125	45,5	
1,10,2005	1000:1000	17,2125	757,637	763,562		38,125	
1,10,2006	1000:1000	13,6625	757,925	763,925		46,375	
1,10,2007	1000:1000	16,025	759,025	764,95		48,875	
1,10,2008	1000:1000	12,0125	759,038	764,975		64,25	
1,10,2009	1000:1000	16,6375	755,413	760,4		69,25	
1,10,2010	1000:1000	18,7125	752,137	757,962		52,875	
1,10,2011	1000:1000	17,575	751,8	757,663		47,625	
1,10,2012	1000:1000	13,2	763,95	769,975		56,125	
1,10,2013	1000:1000	11,9875	759,775	765,75	0,5375	56,25	
1,10,2014	1000:1000	10,9625	761,263	767,288	-0,2875	58,375	
1,10,2015	1000:1000	14,625	758,45	764,413	-0,2375	45,25	
1,10,2016	1000:1000	11,7125	763,137	769,175	0,7	61,25	
1,10,2017	1000:1000	9,6875	760,975	767	-1,0125	45,5	
1,10,2018	1000:1000	20,8	758,963	764,762	0,075	39,75	
1,10,2019	1000:1000	9,275	760,812	766,85	0,025	48	
1,10,2020	1000:1000	14,075	759,312	765,263	0,025	46,125	
1,10,2021	1000:1000	7,8125	765,9	772,038	0,325	55,75	
1,10,2022	1000:1000	13,5375	762,763	768,763	0,2	31,125	
1,10,2023	1000:1000	16,4625	756,475	762,375	-0,0375	46,375	
1,11,2005	1000:1000	8,0625	763,925	770,075		48,625	
1,11,2006	1000:1000	14,5625	759,262	765,2		79,375	
1,11,2007	1000:1000	10,1	762,5	768,587		37,625	
1,11,2008	1000:1000	7,2875	767,438	773,612		68,25	
